Temperature - (Celsius), Year, Statistics, Country, ISO3
-12.7, 2008, May Average, Greenland, GRL
-4.5, 2008, Jun Average, Greenland, GRL
-2.0, 2008, Jul Average, Greenland, GRL
-4.6, 2008, Aug Average, Greenland, GRL
-11.5, 2008, Sep Average, Greenland, GRL
-19.1, 2008, Oct Average, Greenland, GRL
-23.5, 2008, Nov Average, Greenland, GRL
-24.7, 2008, Dec Average, Greenland, GRL
-23.0, 2009, Jan Average, Greenland, GRL
-27.8, 2009, Feb Average, Greenland, GRL
-29.4, 2009, Mar Average, Greenland, GRL
-23.0, 2009, Apr Average, Greenland, GRL
-11.7, 2009, May Average, Greenland, GRL
-6.1, 2009, Jun Average, Greenland, GRL
-1.7, 2009, Jul Average, Greenland, GRL
-4.8, 2009, Aug Average, Greenland, GRL
-12.5, 2009, Sep Average, Greenland, GRL
-19.6, 2009, Oct Average, Greenland, GRL
-23.4, 2009, Nov Average, Greenland, GRL
-22.4, 2009, Dec Average, Greenland, GRL
-23.1, 2010, Jan Average, Greenland, GRL
-24.9, 2010, Feb Average, Greenland, GRL
-27.3, 2010, Mar Average, Greenland, GRL
-19.8, 2010, Apr Average, Greenland, GRL
-11.3, 2010, May Average, Greenland, GRL
-5.3, 2010, Jun Average, Greenland, GRL
-2.2, 2010, Jul Average, Greenland, GRL
-4.5, 2010, Aug Average, Greenland, GRL
-11.5, 2010, Sep Average, Greenland, GRL
-18.0, 2010, Oct Average, Greenland, GRL
-23.6, 2010, Nov Average, Greenland, GRL
-22.2, 2010, Dec Average, Greenland, GRL
-22.9, 2011, Jan Average, Greenland, GRL
-23.6, 2011, Feb Average, Greenland, GRL
-27.3, 2011, Mar Average, Greenland, GRL
-22.6, 2011, Apr Average, Greenland, GRL
-12.5, 2011, May Average, Greenland, GRL
-5.3, 2011, Jun Average, Greenland, GRL
-2.4, 2011, Jul Average, Greenland, GRL
-4.4, 2011, Aug Average, Greenland, GRL
-12.2, 2011, Sep Average, Greenland, GRL
-18.9, 2011, Oct Average, Greenland, GRL
-22.7, 2011, Nov Average, Greenland, GRL
-25.9, 2011, Dec Average, Greenland, GRL
-22.6, 2012, Jan Average, Greenland, GRL
-25.2, 2012, Feb Average, Greenland, GRL
-27.3, 2012, Mar Average, Greenland, GRL
-22.0, 2012, Apr Average, Greenland, GRL
-12.8, 2012, May Average, Greenland, GRL
-5.1, 2012, Jun Average, Greenland, GRL
-2.3, 2012, Jul Average, Greenland, GRL
-5.1, 2012, Aug Average, Greenland, GRL
-11.2, 2012, Sep Average, Greenland, GRL
-17.9, 2012, Oct Average, Greenland, GRL
-23.7, 2012, Nov Average, Greenland, GRL
-25.2, 2012, Dec Average, Greenland, GRL
-23.5, 2013, Jan Average, Greenland, GRL
-27.1, 2013, Feb Average, Greenland, GRL
-27.4, 2013, Mar Average, Greenland, GRL
-22.1, 2013, Apr Average, Greenland, GRL
-13.4, 2013, May Average, Greenland, GRL
-5.6, 2013, Jun Average, Greenland, GRL
-2.6, 2013, Jul Average, Greenland, GRL
-5.6, 2013, Aug Average, Greenland, GRL
-12.4, 2013, Sep Average, Greenland, GRL
-19.3, 2013, Oct Average, Greenland, GRL
-24.6, 2013, Nov Average, Greenland, GRL
-25.0, 2013, Dec Average, Greenland, GRL
-22.2, 2014, Jan Average, Greenland, GRL
-24.6, 2014, Feb Average, Greenland, GRL
-28.9, 2014, Mar Average, Greenland, GRL
-22.5, 2014, Apr Average, Greenland, GRL
-12.6, 2014, May Average, Greenland, GRL
-5.2, 2014, Jun Average, Greenland, GRL
-2.1, 2014, Jul Average, Greenland, GRL
-4.4, 2014, Aug Average, Greenland, GRL
-12.0, 2014, Sep Average, Greenland, GRL
-19.0, 2014, Oct Average, Greenland, GRL
-22.4, 2014, Nov Average, Greenland, GRL
-25.7, 2014, Dec Average, Greenland, GRL
-22.6, 2015, Jan Average, Greenland, GRL
-27.7, 2015, Feb Average, Greenland, GRL
-28.1, 2015, Mar Average, Greenland, GRL
-22.0, 2015, Apr Average, Greenland, GRL
-14.9, 2015, May Average, Greenland, GRL
-5.6, 2015, Jun Average, Greenland, GRL
